id_desc,datasource
"3cx_supply_chain_attack_network_indicators:The analytic provided below employs the Network_Resolution datamodel to detect domain indicators associated with the 3CX supply chain attack. By leveraging this query, you can efficiently conduct retrospective analysis of your data to uncover potential compromises.",DNS
7zip_commandline_to_smb_share_path:This search is to detect a suspicious 7z process with commandline pointing to SMB network share. This technique was seen in CONTI LEAK tools where it use 7z to archive a sensitive files and place it in network share tmp folder. This search is a good hunting query that may give analyst a hint why specific user try to archive a file pointing to SMB user which is un usual.,Endpoint Detection and Response
abnormally_high_aws_instances_launched_by_user:This search looks for AWS CloudTrail events where a user successfully launches an abnormally high number of instances. This search is deprecated and have been translated to use the latest Change Datamodel,AWS
abnormally_high_aws_instances_terminated_by_user:This search looks for AWS CloudTrail events where an abnormally high number of instances were successfully terminated by a user in a 10-minute window. This search is deprecated and have been translated to use the latest Change Datamodel.,AWS
abnormally_high_number_of_cloud_infrastructure_api_calls:This search will detect a spike in the number of API calls made to your cloud infrastructure environment by a user.,Change Events Data
abnormally_high_number_of_cloud_instances_destroyed:This search finds for the number successfully destroyed cloud instances for every 4 hour block. This is split up between weekdays and the weekend. It then applies the probability densitiy model previously created and alerts on any outliers.,Change Events Data
abnormally_high_number_of_cloud_instances_launched:This search finds for the number successfully created cloud instances for every 4 hour block. This is split up between weekdays and the weekend. It then applies the probability densitiy model previously created and alerts on any outliers.,Change Events Data
abnormally_high_number_of_cloud_security_group_api_calls:This search will detect a spike in the number of API calls made to your cloud infrastructure environment about security groups by a user.,Change Events Data
"abnormally_high_number_of_endpoint_changes_by_user:Detects an abnormally high number of endpoint changes by user account, as they relate to restarts, audits, filesystem, user, and registry modifications.",Endpoint Detection and Response
abnormally_high_number_of_http_method_events_by_src:Alerts when a host has an abnormally high number of HTTP requests by http method.,Web Proxy
access_inscope_resources:Visibility into who is accessing in-scope resources is key to your GDPR efforts. Splunk allows easy analysis of that information.,Web Proxy
"access_inscope_resources_unencrypted:Unencrypted communications leaves you vulnerable to a data breach -- when users access PII data, ensure that all connections are encrypted.",Web Proxy
access_lsass_memory_for_dump_creation:Detect memory dumping of the LSASS process.,Microsoft Sysmon Logs
account_deleted:Detects user and computer account deletion,User Activity Audit
