description,qualifiedSearch
"Maintains a list of Authentication app values and the first and last time they have been seen"," tstats summariesonly=true min(""_time"") as ""firstTime"",max(""_time"") as ""lastTime"" from datamodel=""Authentication"".""Authentication"" where ""Authentication.app""!=""unknown"" by ""Authentication.app"" | rename ""Authentication.app"" as ""app"" | inputlookup append=T ""access_app_tracker"" | stats min(""firstTime"") as ""firstTime"",max(""lastTime"") as ""lastTime"" by ""app"" | outputlookup override_if_empty=false ""access_app_tracker"" | stats count"
"Detects user and computer account deletion"," from datamodel:""Change"".""Account_Management"" | where 'tag'=""delete"" | stats max(""_time"") as ""lastTime"",latest(""_raw"") as ""orig_raw"",values(""result"") as ""signature"",values(""src"") as ""src"",values(""dest"") as ""dest"",count by ""src_user"",""user"" | where 'count'>0"
"Maintains a list of users that have authenticated to each system and the first, second to last, and last time they have been seen"," tstats `summariesonly` count from datamodel=Authentication.Authentication where Authentication.action=success Authentication.dest!=unknown Authentication.user!=unknown by _time,Authentication.dest,Authentication.user span=1s | `drop_dm_object_name(""Authentication"")` | stats min(_time) as firstTime,values(_time) as second2lastTime,max(_time) as lastTime by dest,user | eval dest=lower(dest),user=lower(user),_key=sha1(dest.""|"".user) | dedup _key | lookup access_tracker _key OUTPUTNEW firstTime as lookup_firstTime, second2lastTime as lookup_second2lastTime, lastTime as lookup_lastTime | eval firstTime=min(firstTime, lookup_firstTime),lastTime=max(lastTime, lookup_lastTime), second2lastTime=mvdedup(mvappend(second2lastTime,NULL,lookup_second2lastTime)), lastTime_vals=mvdedup(mvappend(lastTime,NULL,lookup_lastTime)) | eval `get_second2lastTime_meval(second2lastTime,lastTime_vals,lastTime)` | eventstats min(firstTime) as firstTime_user,max(lastTime) as lastTime_user by user  | fields - lastTime_vals, lookup_firstTime, lookup_lastTime, lookup_second2lastTime | outputlookup append=T key_field=_key access_tracker | stats count"
"Detects excessive number of failed login attempts along with a successful attempt (this could indicate a successful brute force attack)"," from datamodel:""Authentication"".""Authentication"" | stats values(tag) as tag,values(app) as app,count(eval('action'==""failure"")) as failure,count(eval('action'==""success"")) as success by src | search success>0 | `mltk_apply_upper(""app:failures_by_src_count_1h"", ""high"", ""failure"")`"
"Detects an excessive number of failed login attempts, along with a successful attempt, over a one day period (this could indicate a successful brute force attack)"," tstats `summariesonly` values(Authentication.app) as app,count from datamodel=Authentication.Authentication by Authentication.action,Authentication.src | `drop_dm_object_name(""Authentication"")` | eval success=if(action=""success"",count,0),failure=if(action=""failure"",count,0) | stats values(app) as app,sum(failure) as failure,sum(success) as success by src | where success > 0 | `mltk_apply_upper(""app:failures_by_src_count_1d"", ""medium"", ""failure"")`"
"Detects cleartext passwords being stored at rest (such as in the Unix passwd file)"," from datamodel:""Compute_Inventory"".""Cleartext_Passwords"" | stats max(""_time"") as ""lastTime"",latest(""_raw"") as ""orig_raw"",values(""tag"") as ""tag"",count by ""dest"",""user"",""password"""
"Discovers accounts that are no longer used. Unused accounts should be disabled and are oftentimes used by attackers to gain unauthorized access."," from inputlookup:access_tracker | stats min(firstTime) as firstTime,max(lastTime) as lastTime by user | where ((now()-'lastTime')/86400)>90"
"Alerts on concurrent access attempts to an app from different hosts. These are good indicators of shared passwords and potential misuse."," tstats `summariesonly` count from datamodel=Authentication.Authentication by _time,Authentication.app,Authentication.src,Authentication.user span=1s | `drop_dm_object_name(""Authentication"")` | eventstats dc(src) as src_count by app,user | search src_count>1 | sort 0 + _time | streamstats current=t window=2 earliest(_time) as previous_time,earliest(src) as previous_src by app,user | where (src!=previous_src) | eval time_diff=abs(_time-previous_time) | where time_diff<300"
"Discovers use of default accounts (such as admin, administrator, etc.). Default accounts have default passwords and are therefore commonly targeted by attackers using brute force attack tools."," from datamodel:""Authentication"".""Successful_Default_Authentication"" | stats max(""_time"") as ""lastTime"",values(""tag"") as ""tag"",count by ""dest"",""user"",""app"""
"Discovers the presence of default accounts even if they are not being used. Default accounts should be disabled in order to prevent an attacker from using them to gain unauthorized access to remote hosts."," from datamodel:""Compute_Inventory"".""Default_Accounts"" | where NOT match('enabled', ""0|[Ff]|[Ff][Aa][Ll][Ss][Ee]"") AND NOT 'status'==""Degraded"" AND NOT like('shell',""%nologin"") AND NOT like('shell',""%false"") AND 'user'!=""root"" | stats max(""_time"") as ""lastTime"",latest(""_raw"") as ""orig_raw"",values(""tag"") as ""tag"",count by ""dest"",""user"""
"Detects excessive number of failed login attempts (this is likely a brute force attack)"," from datamodel:""Authentication"".""Failed_Authentication"" | stats values(""tag"") as ""tag"",dc(""user"") as ""user_count"",dc(""dest"") as ""dest_count"",count by ""app"",""src"" | where 'count'>=6"
"Alerts on access attempts that are improbable based on time and geography.","search index=gia_summary source=""Access - Geographically Improbable Access - Summary Gen"" | fields user,src_time,src_app,src,src_lat,src_long,src_city,src_country,dest_time,dest_app,dest,dest_lat,dest_long,dest_city,dest_country,distance,speed"
"Alerts on access attempts that are improbable based on time and geography.","search index=gia_summary source=""Access - Geographically Improbable Access - Summary Gen_Demo"" | eval threat_object=dest | eval threat_object_type=""ip"" | fields user,src_time,src_app,src,src_lat,src_long,src_city,src_country,dest_time,dest_app,dest,dest_lat,dest_long,dest_city,dest_country,distance,speed, risk_object, risk_object_type, risk_score, threat_object, threat_object_type"
"Detects users with a high or critical priority logging into a malware infected machine"," tstats `summariesonly` values(Authentication.user) as ""user"" from datamodel=Authentication.Authentication where earliest=-70m@m latest=+0s nodename=Authentication.Successful_Authentication (""Authentication.user_priority""=""high"" OR ""Authentication.user_priority""=""critical"") by ""Authentication.dest"" | rename ""Authentication.dest"" as ""dest"" | eval cs_key='dest' | join type=inner cs_key [| tstats summariesonly=false values(Malware_Attacks.signature) as ""signature"" from datamodel=Malware.Malware_Attacks where earliest=-1450m@m latest=+0s nodename=Malware_Attacks.Allowed_Malware  by ""Malware_Attacks.dest"" | rename ""Malware_Attacks.dest"" as ""dest"" | eval cs_key='dest']"
"Discovers previously inactive accounts that are now being used. This may be due to an attacker that successfully gained access to an account that was no longer being used."," `inactive_account_usage(""90"",""2"")` | `ctime(lastTime)` | fields + user,tag,inactiveDays,lastTime"
"Detects authentication requests that transmit the password over the network as cleartext (unencrypted)"," from datamodel:""Authentication"".""Insecure_Authentication"" | stats max(""_time"") as ""lastTime"",latest(""_raw"") as ""orig_raw"",values(""tag"") as ""tag"",count by ""app"",""dest"""
"Detects when a account or credential is created and then removed a short time later. This may be an indication of malicious activities."," tstats `summariesonly` count from datamodel=Change.All_Changes where nodename=""All_Changes.Account_Management"" (All_Changes.action=""created"" OR All_Changes.action=""deleted"") by _time,All_Changes.dest,All_Changes.user span=1s | `drop_dm_object_name(""All_Changes"")` | streamstats range(_time) as delta,sum(count) as count by user,dest window=2 global=f | where count>1 AND delta<`useraccount_minimal_lifetime` | `uptime2string(delta,timestr)` | table user, dest, delta, timestr"
